#CODE;RUSSIAN;x
PROV1995;Нил;x
PROV1996;Нил;x
PROV1997;Нил;x
PROV1998;Нил;x
PROV1999;Нил;x
PROV2000;Нил;x
PROV2008;Нил;x
PROV2009;Нил;x
PROV2010;Атбаре;x
PROV2011;Атбаре;x
PROV2015;Эбро;x
PROV2016;Эбро;x
PROV2017;Эбро;x
PROV2018;Тахо;x
PROV2019;Тахо;x
PROV2020;Тахо;x
PROV2021;Рона;x
PROV2022;Рона;x
PROV2023;Рона;x
PROV2024;По;x
PROV2025;По;x
PROV2026;По;x
PROV2027;Одра;x
PROV2028;Одра;x
PROV2029;Одра;x
PROV2030;Одра;x
PROV2031;Луара;x
PROV2032;Луара;x
PROV2033;Гвадалквивир;x
PROV2034;Гвадалквивир;x
PROV2035;Гвадиана;x
PROV2036;Гвадиана;x
PROV2037;Сена;x
PROV2038;Сена;x
PROV2039;Рейн;x
PROV2040;Рейн;x
PROV2041;Дуэро;x
PROV2042;Дуэро;x
PROV2043;Те?мза;x
PROV2044;Маас;x
PROV2045;Маас;x
PROV2046;Маас;x
PROV2047;Гломма;x
PROV2048;Двина;x
PROV2049;Двина;x
PROV2050;Двина;x
PROV2051;Драва;x
PROV2052;Драва;x
PROV2053;Олт;x
PROV2054;Неман;x
PROV2055;Неман;x
PROV2056;Гёта-Эльв;x
PROV2057;Нарва;x
PROV2058;Арно;x
PROV2059;Сава;x
PROV2060;Сава;x
PROV2061;Сава;x
PROV2062;Урал;x
PROV2063;Урал;x
PROV2064;Урал;x
PROV2065;Шатт-эль-Араб;x
PROV2066;Тигр;x
PROV2067;Тигр;x
PROV2068;Тигр;x
PROV2069;Тигр;x
PROV2070;Евфрат;x
PROV2071;Евфрат;x
PROV2072;Евфрат;x
PROV2073;Евфрат;x
PROV2074;Евфрат;x
PROV2075;Нармада;x
PROV2076;Нармада;x
PROV2077;Нармада;x
PROV2078;Нармада;x
PROV2079;Нармада;x
PROV2080;Кришна;x
PROV2081;Кришна;x
PROV2082;Кришна;x
PROV2083;Кришна;x
PROV2084;Кришна;x
PROV2085;Бхима;x
PROV2086;Тунгабхадра;x
PROV2087;Тунгабхадра;x
PROV2088;Годавари;x
PROV2089;Годавари;x
PROV2090;Годавари;x
PROV2091;Годавари;x
PROV2092;Индравати;x
PROV2093;Маханади;x
PROV2094;Маханади;x
PROV2095;Маханади;x
PROV2096;Амударья;x
PROV2097;Амударья;x
PROV2098;Амударья;x
PROV2099;Амударья;x
PROV2100;Везер;x
PROV2101;Везер;x
PROV2102;Узбой;x
PROV2103;Йобе;x
PROV2104;Йобе;x
PROV2105;Шари;x
PROV2106;Зале;x
PROV2107;Буг;x
PROV2108;Кама;x
PROV2109;Печора;x
PROV2110;Печора;x
PROV2111;Печора;x
PROV2112;Печора;x
PROV2113;Мозель;x
PROV2114;Мозель;x
PROV2115;Сон;x
PROV2116;Сон;x
PROV2117;Джамна;x
PROV2118;Джамна;x
PROV2119;Бвета;x
PROV2120;Чамбал;x
PROV2121;Чамбал;x
PROV2122;Чамбал;x
PROV2123;Варда;x
PROV2124;Варда;x
PROV2125;Уаза;x
PROV2126;Уаза;x
PROV2127;Эмс;x
PROV2128;Эмс;x
PROV2129;Сирет;x
PROV2130;Буг;x
PROV2131;Буг;x
PROV2132;Морава ;x
PROV2133;Канал фараонов ;x
family_palace_baron_east_slavic;Бояре;x
family_palace_baron_female_east_slavic;Боярыня;x
city_duke_east_slavic;Пасаднік;x
city_king_east_slavic;Великий Посадник;x
city_Duke_foa_east_slavic;Ваш Посадник;x
city_king_foa_east_slavic;Ваш Великий Посадник;x
PROV1101;Белое;x
