#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
Europe_trade_route;European trade;Commerce européen;Europäischer Handel;;Comercio europeo;;;;;;;;;x
Europe_trade_route_province_desc;You can only build trading posts in certain counties;Vous ne pouvez construire des postes de traite que dans certains comtés;Sie können Handelsposten nur in bestimmten Ländern errichten;;Solo puede crear publicaciones comerciales en ciertos condados;;;;;;;;;x

Scandinav_trade_route;Scandinavian trade;Commerce Scandinave;Skandinavischer Handel;;Comercio escandinavo;;;;;;;;;x
Scandinav_trade_route_province_desc;You can only build trading posts in certain counties;Vous ne pouvez construire des postes de traite que dans certains comtés;Sie können Handelsposten nur in bestimmten Ländern errichten;;Solo puede crear publicaciones comerciales en ciertos condados;;;;;;;;;x

tr_europe_1;European Trade Post;Comptoir européen;Europaische Handelspost;;Puesto de Comercio Europeo;;;;;;;;;x
tr_europe_2;European Market;Marché européen;GroÃŸer europaischer Markt;;Gran mercado europeo;;;;;;;;;x
tr_europe_3;Regional Trade Centre;Centre de commerce régional;Lokales Handelszentrum;;Centro de comercio local;;;;;;;;;x
tr_europe_4;Large Trade Hub;Grand centre commercial;Großes Handelszentrum;;Gran centro de comercio;;;;;;;;;x
tr_europe_5;World Renowned Trade hub;Pôle de renommée mondiale;Weltbekanntes Handelszentrum;;Centro de comercio de renombre mundial;;;;;;;;;x

tr_scandinavia_1;Scandinavian Trade Post;Poste de commerce scandinave;Skandinavische Handelspost;;Puesto de comercio escandinavo;;;;;;;;;x
tr_scandinavia_2;Large Scandinavian Market;Grand marché scandinave;GroÃŸer skandinavischer Markt;;Gran mercado escandinavo;;;;;;;;;x
tr_scandinavia_3;Large Trade Hub;Grand centre commercial;Großes Handelszentrum;;Gran centro de comercio;;;;;;;;;x

tr_euro_sca_1_desc;This is a small but vibrant trading post.;Ceci est un poste de traite petit mais dynamique.;Dies ist ein kleiner, aber lebendiger Handelsposten.;Este es un puesto comercial pequeño pero vibrante.;;;;;;;;;x
tr_euro_sca_2_des;This trading post has grown into a large town, offering more protection against raiders and brigands and thus attracting more merchants who prefer to stay her and trade.;Ce poste de traite est devenu une grande ville, offrant plus de protection contre les pillards et les brigands et attirant ainsi davantage de marchands qui préfèrent rester et faire du commerce.;Dieser Handelsposten hat sich zu einer groben Stadt gemausert. Der verbeberte Schutz gegen Rauber und Banditen zieht die Kaufleute an, die hierher kommen, um sich hier niederzulaben und zu handeln.;;Este puesto comercial se ha convertido en una gran ciudad, ofreciendo mayor proteccion contra atracadores y bandoleros y atrayendo asÃ­ a mÃ¡s comerciantes que prefieren quedarse aquÃ­ y comerciar.;;;;;;;;;x
tr_euro_sca_3_desc;The vast network of traders inside this trading hub has attracted traders from all over the region and created a meetingplace for people of surrounding lands.;Le vaste réseau de commerçants au sein de cette plaque tournante a attiré des commerçants de toute la région et a créé un lieu de rencontre pour les habitants des terres environnantes.;Das weitlÃ¤ufige HÃ¤ndlernetz innerhalb dieses Handelszentrums hat HÃ¤ndler aus der ganzen Region angezogen und einen Treffpunkt fur Menschen aus den umliegenden LÃ¤ndern geschaffen.;La vasta red de comerciantes dentro de este centro comercial ha atraÃ­do a comerciantes de toda la regiÃ³n y ha creado un lugar de reuniÃ³n para las personas de las tierras circundantes.;;;;;;;;;x
tr_euro_4_desc;This major trading hub is the first place where traders from foreign lands settle and show their wares. It has created a meeting place for men who search for rare commodities and goods from far away lands.;Ce centre commercial majeur est le premier endroit où les commerçants de pays étrangers s'installent et montrent leurs marchandises. Il a créé un lieu de rencontre pour les hommes qui recherchent des produits rares et des marchandises provenant de pays lointains.;Dieser wichtige Handelsknotenpunkt ist der erste Ort, an dem sich HÃ¤ndler aus dem Ausland niederlassen und ihre Waren zeigen. Es hat einen Treffpunkt fur MÃ¤nner geschaffen, die nach seltenen Waren und Gutern aus fernen LÃ¤ndern suchen.;Este importante centro comercial es el primer lugar donde los comerciantes de tierras extranjeras se asientan y muestran sus productos. Ha creado un lugar de encuentro para hombres que buscan productos y bienes raros de tierras lejanas.;;;;;;;;;x
tr_euro_5_desc;This has become a city which is known, the world over. Traders from allover the world flock towards its markets in order to showcase their rare goods and artifacts from faraway lands.;C'est devenu une ville connue dans le monde entier. Les commerçants du monde entier affluent vers ses marchés afin de présenter leurs biens rares et leurs artefacts de contrées lointaines.;Dies ist eine Stadt geworden, die auf der ganzen Welt bekannt ist. HÃ¤ndler aus der ganzen Welt stromen auf ihre MÃ¤rkte, um ihre seltenen Waren und Artefakte aus fernen LÃ¤ndern zu prÃ¤sentieren.;Esto se ha convertido en una ciudad conocida en todo el mundo. Los comerciantes de todo el mundo acuden en masa a sus mercados para mostrar sus productos y artefactos raros de tierras lejanas.;;;;;;;;;x

trade_offices_europe_1;Rudimentary trade offices;Bureaux de commerce rudimentaires;RudimentÃ¤re Handelsburos;;Oficinas de comercio rudimentarias;;;;;;;;;x
trade_offices_europe_2;European Trade offices;Bureaux européens du commerce;EuropÃ¤ische Handelsburos;;Oficinas de comercio europeas;;;;;;;;;x
trade_offices_europe_3;Large trade offices;Grands bureaux commerciaux;GroÃŸe Handelsburos;;Grandes oficinas comerciales;;;;;;;;;x
trade_offices_europe_4;Grand trade offices;Grands bureaux commerciaux II;GroÃŸe Handelsburos;;Grandes oficinas de comercio;;;;;;;;;x
trade_offices_europe_5;The Ministery of Trade;Le ministère du commerce;Das Ministerium fur Handel;;El ministerio de comercio;;;;;;;;;x

trade_offices_sca_1;Rudimentary trade offices;Bureaux de commerce rudimentaires;RudimentÃ¤re Handelsburos;;Oficinas de comercio rudimentarias;;;;;;;;;x
trade_offices_sca_2;Scandinavian Trade offices;Bureaux commerciaux scandinaves;Skandinavische Handelsburos;;Oficinas de comercio escandinavo;;;;;;;;;x
trade_offices_sca_3;Large trade offices;Grands bureaux commerciaux;GroÃŸe Handelsburos;;Grandes oficinas comerciales;;;;;;;;;x

