#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


EVTTOOLTIPSUCCESS;of §Gsuccess§!;;;;;;;;;;;;;x
EVTTOOLTIPGREATSUCCESS;of §Ygreat success§!;;;;;;;;;;;;;x
EVTTOOLTIPFAILURE;of §Rfailure§!;;;;;;;;;;;;;x


#####################MAINTENANCE EVENTS#####################

EVTDESAcsmm.007;You have inherited some artifacts that seem to be related to mounts, as you don't possess a mount to make use of them they are useless to you.;;;;;;;;;;;;;x
EVTOPTAcsmm.007;Sell one of them;;;;;;;;;;;;;x
EVTOPTBcsmm.007;Sell them all;;;;;;;;;;;;;x
EVTOPTCcsmm.007;Keep them;;;;;;;;;;;;;x

EVTDESAcsmm.008;[From.GetBestName] has become unlanded, thus [From.GetSheHe] is unable to make use of [From.GetHerHis] mounts. [From.GetSheHeCap] has decided to give them to you.;;;;;;;;;;;;;x
EVTOPTAcsmm.008;I will make good use of them;;;;;;;;;;;;;x

EVTDESAcsmm.009;It seems your Stable Master [From.GetFirstName] has passed away.;;;;;;;;;;;;;x
EVTOPTAcsmm.009;Ok;;;;;;;;;;;;;x

EVTDESAcsmm.011;Your [dying_mount.GetName] has sadly passed away.;;;;;;;;;;;;;x
EVTOPTAcsmm.011;Oh no...;;;;;;;;;;;;;x

EVTDESAcsmm.012;It seems your [breeding_mount_1.GetName] has taken a liking to your [breeding_mount_2.GetName]. The two horses have produced an offspring.;;;;;;;;;;;;;x
EVTOPTAcsmm.012;Great;;;;;;;;;;;;;x
EVTTOOLTIPAcsmm.012;The foal will take around 6 years to be rideable;;;;;;;;;;;;;x

EVTDESAcsmm.013;One of your foals has grown up enough to ride.;;;;;;;;;;;;;x
EVTOPTAcsmm.013;Excellent;;;;;;;;;;;;;x

EVTDESAcsmm.015;Unfortunately none of the nearby Heartlands can supply you with a [csm_bought_item.GetName]. Your money has been refunded.;;;;;;;;;;;;;x
EVTOPTAcsmm.015;I'll try later then;;;;;;;;;;;;;x

EVTDESAcsmm.017;The upkeep cost of your mounts will now be deducted.\nIf you disable this notification, the upkeep will still be deducted yearly. You will be asked again when you switch characters.;;;;;;;;;;;;;x
EVTOPTAcsmm.017;Ok;;;;;;;;;;;;;x
EVTOPTBcsmm.017;Stop showing me this;;;;;;;;;;;;;x



EVTDESAcsmm.300;Hello and welcome to Crusader Mounts. The mod is now setting up and will be ready in one ingame week. If you have either CK2Plus or HIP installed, the mod will autodetect them and make any neccessary adjustments.\nIf you want more info on how some of the mechanics work, please pick the first option to get the info book. Other than console commands, this is your only chance to obtain it.;;;;;;;;;;;;;x
EVTOPTAcsmm.300;Give me knowledge;;;;;;;;;;;;;x
EVTOPTBcsmm.300;I know enough;;;;;;;;;;;;;x

EVTDESAcsmm.301;From here you can access more detailed information on all the mounts of the world, their care, and their uses.\nThere is a section on the Mount Heartlands as well, and another on Mounted Combat.\n\nThis book seems quite rare and is probably the only one in existence.;;;;;;;;;;;;;x
EVTOPTAcsmm.301;Read about mounts;;;;;;;;;;;;;x
EVTOPTBcsmm.301;Read about the mount heartlands;;;;;;;;;;;;;x
EVTOPTCcsmm.301;Read about mounted combat;;;;;;;;;;;;;x


EVTDESAcsmm.302;Mounts are divided into four types: Horses, Camels, Elephants, and Exotic.\nHorses are further categorized as Coursers, Destriers, and Chargers.\n Coursers are meant to be fast and light, while Chargers are slow and heavy, and Destriers being in between.\nA horse's type can be learned from either it's name, or by it's appearance.;;;;;;;;;;;;;x
EVTOPTAcsmm.302;More about obtaining mounts;;;;;;;;;;;;;x
EVTOPTBcsmm.302;More about lifespans;;;;;;;;;;;;;x
EVTOPTCcsmm.302;More about breeding;;;;;;;;;;;;;x

EVTDESAcsmm.303;Mounts are mainly obtained from the market decision, with more options appearing if you can reach the required provinces.\nThere are a couple of unique mounts obtained from various events, as well as decision to ask for a horse from China.\nThe last method is via breeding more horses yourself.\nMounts can also be sold with a self targeted decision;;;;;;;;;;;;;x

EVTDESAcsmm.304;Each mount has a base health stat, usually five. Some harder to acquire mounts have six or seven.\nEvery two years all mounts have a 60% chance to lose one health. This can be lowered by the following factors: Being unique, having the Robust trait, and the ability of your Stable Master.\n Various events can also modify a mount's health.;;;;;;;;;;;;;x

EVTDESAcsmm.305;Only non-unique horses can breed. As long as you have at least two horses that can breed. Every two years there is a chance they will produce an offspring, fertile horses increase that chance. Each horse can breed twice, fertile horses can breed thrice.\n The horses will pick their mate without human intervention.;;;;;;;;;;;;;x
EVTOPTAcsmm.305;More on breeding results;;;;;;;;;;;;;x

EVTDESAcsmm.306;The resulting foal's type depends on the first horse's type, as in a Courser will never produce a Destrier or Charger. Then the foal's breed is picked, this depends on both horses' breeds, their origins, and sometimes their owner's culture or location.\nTraits have a chance to be inherited, with much higher chances if both parents have the same trait.\n The foal will age over six years until it is ridable and gains a bonus to it's base health.;;;;;;;;;;;;;x


EVTTITLEcsmm.310;The Mount Heartlands;;;;;;;;;;;;;x
