#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


fix_csm_bug;Fix market bug;;;;;;;;;;;;;x
fix_csm_bug_desc;oops;;;;;;;;;;;;;x





#####################ARTIFACTS#####################
csm_info_book;The Great Book of Mounts;;;;;;;;;;;;;x
csm_info_book_desc;Bestows upon the reader additional insight on the care and uses of the various mounts of the world.;;;;;;;;;;;;;x


mount_type_horse;horse;;;;;;;;;;;;;x
mount_type_camel;camel;;;;;;;;;;;;;x
mount_type_elephant;elephant;;;;;;;;;;;;;x
mount_type_yak;yak;;;;;;;;;;;;;x
mount_type_wolf;wolf;;;;;;;;;;;;;x
mount_type_tiger;tiger;;;;;;;;;;;;;x
mount_type_bear;bear;;;;;;;;;;;;;x
mount_type_reindeer;reindeer;;;;;;;;;;;;;x


##prefixes   #add space after word here, Z for single, B for double

mount_prefix_fair_robust;§BNoble§! ;;;;;;;;;;;;;x
mount_prefix_fair_fertile;§BArdent§! ;;;;;;;;;;;;;x
mount_prefix_fair_powerful;§BForceful§! ;;;;;;;;;;;;;x
mount_prefix_fair_swift;§BElegant§! ;;;;;;;;;;;;;x

mount_prefix_robust_fertile;§BVigorous§! ;;;;;;;;;;;;;x
mount_prefix_robust_powerful;§BImposing§! ;;;;;;;;;;;;;x
mount_prefix_robust_swift;§BSpirited§! ;;;;;;;;;;;;;x

mount_prefix_fertile_powerful;§BDominant§! ;;;;;;;;;;;;;x
mount_prefix_fertile_swift;§BEcstatic§! ;;;;;;;;;;;;;x

mount_prefix_powerful_swift;§BThundering§! ;;;;;;;;;;;;;x


###basic prefixes and descs

mount_prefix_fair;§ZFair§! ;;;;;;;;;;;;;x
mount_prefix_robust;§ZRobust§! ;;;;;;;;;;;;;x
mount_prefix_fertile;§ZFertile§! ;;;;;;;;;;;;;x
mount_prefix_powerful;§ZPowerful§! ;;;;;;;;;;;;;x
mount_prefix_swift;§ZSwift§! ;;;;;;;;;;;;;x

mount_prefix_fair_desc;\n§ZFair:§! Gives bonus prestige and vassal opinion to owner.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_robust_desc;\n§ZRobust:§! Has a longer lifespan and less likely to lose health from random events.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_fertile_desc;\n§ZFertile:§! More likely to breed and can breed for a total of three times.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_powerful_desc;\n§ZPowerful:§! More effective in mounted close combat.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_swift_desc;\n§ZSwift:§! More effective in speed based mounted combat.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_immortal_desc;\n§ZImmortal:§! This mount will never die.[GetMountPrefixDesc2];;;;;;;;;;;;;x

mount_prefix_fair_desc2;\n§ZFair:§! Gives bonus prestige and vassal opinion to owner.;;;;;;;;;;;;;x
mount_prefix_robust_desc2;\n§ZRobust:§! Has a longer lifespan and less likely to lose health from random events.;;;;;;;;;;;;;x
mount_prefix_fertile_desc2;\n§ZFertile:§! More likely to breed and can breed for a total of three times.;;;;;;;;;;;;;x
mount_prefix_powerful_desc2;\n§ZPowerful:§! More effective in mounted close combat.;;;;;;;;;;;;;x
mount_prefix_swift_desc2;\n§ZSwift:§! More effective in speed based mounted combat.;;;;;;;;;;;;;x
mount_prefix_immortal_desc2;\n§ZImmortal:§! This mount will never die.;;;;;;;;;;;;;x


##slots
mount;Mount;;;;;;;;;;;;;x
mount_armor;Mount Armor;;;;;;;;;;;;;x
mount_addon;Mount Equipment;;;;;;;;;;;;;x

###Horses

foal;Young [GetFoalType];;;;;;;;;;;;;x
foal_desc;A young horse not yet ready for riding.;;;;;;;;;;;;;x


#Tier 1
pony;[GetMountPrefix]Pony;;;;;;;;;;;;;x
pony_desc;A small pony ill-suited for battle, but desperate times call for desperate measures.[GetMountPrefixDesc];;;;;;;;;;;;;x
dray_horse;[GetMountPrefix]Dray Horse;;;;;;;;;;;;;x
dray_horse_desc;The Dray Horse is a common pack animal used around the world.[GetMountPrefixDesc];;;;;;;;;;;;;x
rouncey;[GetMountPrefix]Rouncey;;;;;;;;;;;;;x
rouncey_desc;A generic work horse, accustomed to hours of labor and travel.[GetMountPrefixDesc];;;;;;;;;;;;;x

#Tier 2
hobby;[GetMountPrefix]Hobby;;;;;;;;;;;;;x
hobby_desc;A small and quick horse of Irish origin ideal for skirmishing. Also responsible for being the foundation of many horse breeds.[GetMountPrefixDesc];;;;;;;;;;;;;x
jennet;[GetMountPrefix]Jennet;;;;;;;;;;;;;x
jennet_desc;This horse is one of the most commonly used horses by the Chrisitan Iberians for their light cavalry forces.[GetMountPrefixDesc];;;;;;;;;;;;;x
palfry;[GetMountPrefix]Palfry;;;;;;;;;;;;;x
palfry_desc;A horse primarily used by nobles to show off their wealth and influence to others.[GetMountPrefixDesc];;;;;;;;;;;;;x

#Tier3
courser;[GetMountPrefix]Courser;;;;;;;;;;;;;x
courser_desc;Coursers are light horses used primarily for light cavalry and hunting.[GetMountPrefixDesc];;;;;;;;;;;;;x
destrier;[GetMountPrefix]Destrier;;;;;;;;;;;;;x
destrier_desc;Destriers are larger and stronger than Coursers, making them the ideal generic warhorse.[GetMountPrefixDesc];;;;;;;;;;;;;x
galician_mountain_horse;[GetMountPrefix]Galician Mountain Horse;;;;;;;;;;;;;x
galician_mountain_horse_desc;These small horses are accustomed to the rugged terrain of their homeland, allowing them to easily outperform others in such terrain.[GetMountPrefixDesc];;;;;;;;;;;;;x
barbary_destrier;[GetMountPrefix]Barbary Destrier;;;;;;;;;;;;;x
barbary_destrier_desc;This Destrier has adapted to the harsh climate of the Barbary Coast, improving it's physical capabilities.[GetMountPrefixDesc];;;;;;;;;;;;;x
chinese_ceromonial_horse;[GetMountPrefix]Chinese Ceromonial Horse;;;;;;;;;;;;;x
chinese_ceromonial_horse_desc;A noble horse from the rich lands of China, an impressive horse that gives rise to jealousy in others.[GetMountPrefixDesc];;;;;;;;;;;;;x

#Tier4
charger;[GetMountPrefix]Charger;;;;;;;;;;;;;x
charger_desc;A Destrier bred and raised for only one purpose, war.[GetMountPrefixDesc];;;;;;;;;;;;;x
chinese_war_horse;[GetMountPrefix]Chinese War Horse;;;;;;;;;;;;;x
chinese_war_horse_desc;A Charger from the great lands of China, both prestigious and deadly.[GetMountPrefixDesc];;;;;;;;;;;;;x
steppe_courser;[GetMountPrefix]Steppe Courser;;;;;;;;;;;;;x
steppe_courser_desc;A Courser born in the vast eastern steppes. It boasts incredible speed and is mainly used by the nomadic hordes.[GetMountPrefixDesc];;;;;;;;;;;;;x
arabian_courser;[GetMountPrefix]Arabian Courser;;;;;;;;;;;;;x
arabian_courser_desc;One of the most prized horse breeds in the world. Arabian horses possess speed, refinement, endurance, and strength.[GetMountPrefixDesc];;;;;;;;;;;;;x
moorish_courser;[GetMountPrefix]Moorish Courser;;;;;;;;;;;;;x
moorish_courser_desc;The Moors of Iberia have trained their horses rigorously for the purpose of lightning fast raids.[GetMountPrefixDesc];;;;;;;;;;;;;x
nisean_horse;[GetMountPrefix]Nisean Horse;;;;;;;;;;;;;x
nisean_horse_desc;These horses were highly sought after in the ancient world. They are both beautiful and powerful, but their numbers are slowly dwindling.[GetMountPrefixDesc];;;;;;;;;;;;;x


#Tier5
jurchen_steppe_horse;[GetMountPrefix]Jurchen Steppe Horse;;;;;;;;;;;;;x
jurchen_steppe_horse_desc;The horse of the Jurchen Tribes of Manchuria. With these horses in their possession, China is no longer as imposing as it originally looked.[GetMountPrefixDesc];;;;;;;;;;;;;x
mongolian_war_horse;[GetMountPrefix]Mongolian War Horse;;;;;;;;;;;;;x
mongolian_war_horse_desc;The Mongol Horde has come, heralded by the thundering of their horses' hooves. There can be no hope in this world, no hope at all.[GetMountPrefixDesc];;;;;;;;;;;;;x
arabian_charger;[GetMountPrefix]Arabian Charger;;;;;;;;;;;;;x
arabian_charger_desc;The Arabian Charger is both beautiful and effective in war. This noble charger will turn heads wherever it goes.[GetMountPrefixDesc];;;;;;;;;;;;;x
frankish_charger;[GetMountPrefix]Frankish Charger;;;;;;;;;;;;;x
frankish_charger_desc;A Charger from the Frankish lands. This warhorse is as fearless as it is powerful, able to charge into the heaviest formations. [GetMountPrefixDesc];;;;;;;;;;;;;x


#Unique
glitterhoof;Incitatus;;;;;;;;;;;;;x
glitterhoof_desc;The Legendary Horse Councilor Incitatus is the true power behind the [From.Owner.PrimaryTitle.GetFullName].[GetMountPrefixDesc];;;;;;;;;;;;;x
glitterhoof_immortal;Incitatus the Immortal;;;;;;;;;;;;;x
